aX,aY,aZ,gX,gY,gZ
-0.582,1.462,1.056,-65.247,-94.482,155.579
-0.803,1.754,1.193,-69.702,-89.417,139.832
-0.962,2.099,1.344,-64.819,-77.454,117.188
-1.102,2.446,1.556,-51.941,-57.434,83.435
-1.229,2.825,1.749,-36.682,-29.419,38.391
-1.438,2.766,1.542,-6.714,7.507,-17.639
-1.328,3.207,1.903,55.115,43.579,-71.228
-1.602,2.937,1.611,11.902,98.938,-165.039
-1.757,2.613,1.463,-7.935,144.409,-254.150
-1.737,2.235,1.172,-13.977,180.481,-331.055
-1.868,1.882,0.995,-16.541,206.482,-404.175
-1.912,1.649,0.875,-9.827,229.065,-464.355
-1.971,1.456,0.705,-1.770,253.052,-517.273
-2.117,1.264,0.527,3.357,275.879,-569.031
-2.364,1.107,0.332,3.357,292.175,-619.995
-2.677,0.970,0.106,10.742,298.523,-671.875
-3.071,0.783,-0.157,20.081,300.659,-729.248
-3.393,0.416,-0.489,36.133,300.537,-789.490
-3.656,-0.291,-0.823,43.030,298.462,-844.238
-3.930,-1.033,-1.047,28.503,288.757,-873.047
-3.998,-1.569,-1.284,-1.770,272.522,-873.596
-3.668,-2.447,-1.844,-37.720,254.272,-862.976
-3.198,-3.419,-1.808,-78.064,220.947,-846.252
-2.571,-3.984,-1.314,-50.476,155.701,-800.903
-1.845,-4.000,-1.089,-16.968,104.858,-718.994
-1.561,-4.000,-0.743,-14.587,71.838,-624.573
-1.255,-4.000,-0.756,0.366,37.354,-519.409
-0.951,-4.000,-1.247,-10.132,16.296,-409.180
-0.765,-4.000,-0.897,-18.860,-44.312,-303.406
-0.986,-4.000,-0.099,12.085,-123.413,-226.929
-0.951,-4.000,0.082,31.372,-113.708,-154.480
-0.892,-4.000,0.149,55.542,-76.416,-78.796
-0.677,-3.962,0.034,72.571,-48.767,4.395
-0.564,-3.604,0.004,76.294,-39.917,70.435
-0.515,-3.358,0.073,59.509,-41.565,117.004
-0.393,-3.103,-0.022,41.321,-32.776,162.415
-0.225,-2.822,-0.219,34.241,-21.912,211.121
-0.094,-2.578,-0.367,25.146,-18.433,252.319
-0.068,-2.455,-0.408,10.376,-23.743,284.180
-0.135,-2.383,-0.344,-10.254,-32.288,309.387
-0.224,-2.272,-0.168,-30.884,-39.124,332.031
-0.297,-2.083,0.006,-49.072,-41.870,351.929
-0.335,-1.841,0.113,-65.552,-37.354,366.638
-0.327,-1.618,0.167,-75.134,-28.992,371.826
-0.248,-1.406,0.199,-76.355,-20.752,372.375
-0.132,-1.274,0.083,-59.204,-13.428,372.192
-0.010,-1.186,-0.083,-35.583,-9.094,374.939
0.069,-1.201,-0.277,-24.780,-10.559,380.005
0.091,-1.240,-0.274,-4.578,-21.057,389.832
-0.063,-1.088,-0.112,16.418,-35.889,407.898
-0.207,-0.734,0.025,18.005,-46.875,429.749
-0.243,-0.343,0.085,12.695,-50.598,440.613
