aX,aY,aZ,gX,gY,gZ
1.091,0.685,0.548,-157.837,-11.169,-37.231
1.077,0.650,0.239,-110.229,-6.592,-46.082
0.997,0.745,-0.072,-119.385,-2.930,-43.762
0.951,0.903,-0.303,-97.900,-2.625,-36.194
0.906,1.103,-0.345,-62.256,-5.249,-31.555
0.911,1.301,-0.475,-50.598,-0.732,-32.959
0.881,1.458,-0.680,-56.519,6.592,-42.480
1.012,1.479,-1.327,-51.208,15.320,-62.378
0.905,1.620,-1.471,19.470,-11.658,-85.388
0.788,1.679,-1.441,46.753,-54.810,-119.141
0.726,1.422,-1.600,60.181,-80.200,-164.429
0.499,0.951,-1.561,64.331,-113.586,-213.623
0.468,0.403,-0.790,65.369,-156.982,-253.723
0.263,-0.303,-0.146,151.978,-197.693,-289.917
-0.082,-1.250,0.454,53.894,-225.037,-323.303
-0.040,-1.762,1.082,-161.865,-230.408,-325.073
0.040,-2.166,1.579,-298.035,-224.243,-295.959
-0.044,-2.124,2.544,-332.031,-224.243,-238.159
-0.200,-1.951,3.107,-254.700,-201.050,-163.330
-0.347,-1.816,3.780,-83.313,-148.315,-108.215
-0.306,-1.634,3.767,-22.156,-65.125,-62.500
-0.355,-1.465,3.633,7.019,7.690,-22.888
-0.470,-1.208,3.669,24.719,54.382,4.089
-0.522,-1.079,3.649,18.982,103.394,13.489
-0.522,-1.035,3.420,-5.310,158.325,8.240
-0.474,-1.122,3.128,-27.710,207.458,15.076
-0.476,-1.125,2.800,-49.255,245.911,44.861
-0.527,-1.013,2.431,-72.144,270.752,66.895
-0.576,-0.917,2.027,-85.754,290.833,83.740
-0.630,-0.870,1.709,-94.971,305.542,93.933
-0.698,-0.760,1.455,-96.130,312.439,101.074
-0.740,-0.662,1.175,-90.454,319.153,103.943
-0.769,-0.888,0.958,-80.017,329.468,102.478
-0.831,-0.951,0.691,-66.956,345.642,112.793
-0.892,-0.865,0.404,-44.312,363.159,134.338
-0.935,-0.741,0.083,-19.653,379.333,152.771
-1.036,0.718,-0.384,39.978,386.230,157.715
-1.067,-0.862,-0.966,195.923,363.892,108.398
-1.019,-1.329,-1.557,111.389,372.498,123.230
-1.052,-0.493,-2.313,-35.645,374.878,200.317
-1.042,0.436,-3.346,-148.010,356.445,265.747
-0.138,1.427,-3.164,-232.666,343.994,331.360
-0.814,3.662,-4.000,202.332,372.803,294.922
-1.298,4.000,-4.000,-19.043,237.976,315.369
-1.175,4.000,-4.000,-0.305,47.424,183.472
-0.871,4.000,-4.000,9.583,-80.750,50.781
-0.661,4.000,-3.943,15.808,-172.913,-95.276
-0.506,3.373,-3.643,-79.895,-198.914,-194.580
-0.609,2.517,-3.229,-135.071,-237.122,-249.451
-0.552,1.786,-2.411,-193.848,-302.979,-289.734
-0.796,1.531,-1.381,-173.889,-343.994,-322.571
-0.889,1.441,-1.085,-180.603,-346.313,-367.249
-0.996,0.211,-1.559,-140.015,-316.040,-437.256
-0.599,-0.721,-1.209,-207.275,-349.792,-489.502
0.224,-1.550,-0.467,-239.990,-443.115,-537.659
-2.357,-3.386,2.584,-109.131,-562.805,-589.966
-1.594,-3.945,4.000,-159.241,-589.600,-387.451
0.133,-4.000,4.000,-86.853,-432.312,-272.583
0.576,-4.000,4.000,4.211,-231.323,-136.169
0.667,-2.484,4.000,33.325,-43.091,18.188
0.755,-1.410,4.000,37.598,61.340,116.211
1.027,-0.519,4.000,29.663,72.083,148.010
0.941,-0.322,4.000,-4.761,72.998,140.625
0.650,-0.342,3.620,-61.951,102.356,123.962
0.500,-0.160,3.130,-88.928,141.357,123.718
0.328,0.012,2.661,-90.393,186.401,123.718
0.191,0.143,2.117,-91.553,241.577,115.417
0.119,0.278,1.495,-84.351,298.706,102.417
0.053,0.350,0.867,-71.777,346.375,83.984
-0.051,0.390,0.367,-65.796,381.165,61.890
-0.147,0.321,-0.233,-68.237,415.100,40.833
-0.192,0.204,-1.069,-103.882,441.650,21.423
0.127,0.468,-1.680,-201.660,445.251,-1.343
0.421,-0.083,-3.049,-298.157,444.824,-46.509
0.335,-0.660,-4.000,-299.866,395.935,-73.914
0.467,-0.375,-4.000,-253.906,271.118,-44.861
0.350,-0.577,-4.000,-244.690,110.291,-52.979
0.399,-0.882,-4.000,-198.975,-52.124,-61.646
0.455,-0.891,-3.461,-146.912,-200.317,-48.035
0.507,-0.815,-2.288,-128.845,-290.405,-24.475
0.416,-0.808,-1.894,-106.323,-289.185,-2.686
0.327,-0.625,-1.580,-83.557,-280.945,22.034
0.320,-0.475,-1.206,-61.157,-285.645,40.527
0.330,-0.297,-0.866,-32.043,-290.771,46.936
